Blog	new	my	in	we	been	is	it	has	for	was	can	so	nbsp	not	one	that	and	s	on	of	or	your	there	with	an	as	at	you	all	will	what	more	are	t	be	by	from	this	out	have	i	about	but
Schneier on Security	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0
The Superficial - Because You're Ugly	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	3	2	1	0	0	1	0	0	0	0	3	0	0	0	1	0	1	2	0	0	2	0	1	1	0	1
Search Engine Roundtable	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Copyblogger	0	0	3	0	0	0	2	1	1	1	0	1	0	0	0	2	1	3	1	4	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John Battelle's Search Blog	0	0	2	11	0	1	6	0	0	0	6	0	0	0	0	0	2	2	3	0	1	0	3	1	1	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0
Engadget RSS Feed	1	0	3	1	0	0	0	0	2	1	1	0	0	0	0	1	3	2	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0
TMZ.com	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
A Consuming Experience (full feed)	0	0	5	0	0	1	3	0	3	1	1	1	1	2	0	2	6	1	2	2	9	0	0	9	0	1	0	6	0	0	0	0	0	2	0	2	0	4	0	0	4	0	3
SimpleBits	0	1	0	0	1	1	1	2	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0
Publishing 2.0	0	0	1	0	0	2	0	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mezzoblue	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
